DepMap_ID,BRD-K09877029-001-01-2::2.5::HTS,BRD-K21025364-001-04-9::2.5::HTS,BRD-K21025364-001-05-6::2.44::HTS,BRD-K43578482-001-01-4::2.5::HTS,BRD-K79239947-001-06-8::2.5::HTS,BRD-K99545815-001-06-3::2.5::HTS
ACH-000256,0.221040998218,-1.33592744556,0.597008289816,0.439422162326,0.280898137654,1.06451055886
ACH-000259,0.081484615073,-2.32391592171,-4.15971987566,-0.699724250739,0.180458343955,-0.775802710418
ACH-000260,-0.630342550517,-0.275406604582,-1.56892075022,0.156886195002,0.351108685079,0.390566843798
ACH-000261,-0.892883191569,-1.56447875459,-0.683702282044,-0.269429918719,-0.0409998127843,-3.08587678195
ACH-000264,-0.645537486295,-1.28504649732,,0.334101093077,0.241547399076,-1.5009520942
ACH-000265,-0.400687555025,-2.51312721917,-1.76461754749,-0.118720973344,0.0190443362406,-1.29397950644
ACH-000266,-0.231305393578,-1.46217023003,-1.84694321202,1.04368733532,0.881109762599,0.32483314726
ACH-000268,0.28200611656,-2.2028391143,-0.106432944971,0.452593307416,1.23443790494,0.850729767703
ACH-000269,,-1.59393205572,-2.13940593443,,,-1.71715178212
ACH-000270,-2.50664138227,-2.82624876219,-3.53671867624,1.3041600067,1.49788118813,-0.0284678958698
ACH-000273,-0.370534433487,-0.914182122686,-1.78630510859,0.294388821167,0.993811385025,-3.72956866597
ACH-000274,0.63581533103,-1.89717342398,0.0163006926806,1.62550374106,0.502701321587,1.36285500073
ACH-000276,-0.174714414825,-0.672574291101,-2.11258303491,,,-0.0737349790094
ACH-000277,0.776041328285,-0.0609699164159,-0.454845560857,-0.122957830295,-0.218526925091,-0.363667898274
ACH-000278,-1.15026571657,-2.27523152734,-0.738202533436,0.317937560836,0.37347884457,-0.502627149836
ACH-000279,-0.584504332458,-3.0554140819,-2.4190434719,-1.11798718095,-0.344907216939,-1.25962287228
ACH-000280,-0.905887368661,-1.52574666075,-1.65863440779,-0.993111181504,-0.162235487536,-1.22487782166
ACH-000281,-0.875316470715,-0.662313244028,0.429282728207,0.448817831389,0.0828390152834,0.283367755973
ACH-000288,-0.0203995809535,-1.83138088601,-0.820643279453,-0.506505437356,-0.372252398077,-1.7888499468
ACH-000289,0.315207803039,-1.01443683315,1.7904216136,0.0814462611267,-0.0279694654927,-1.28306981375
ACH-000291,-1.2912295335,0.0137985043014,-1.03583828473,-0.15244094981,1.51049580976,0.476431888049
ACH-000292,-0.800548349095,-3.37066697338,-3.35235151368,0.287894353127,0.00629695271424,-2.66554836523
ACH-000296,-1.41494218636,-0.46468156625,-1.47154173086,0.323418292876,-0.440501346641,-2.055037724
ACH-000302,0.350973952719,-0.714939494748,-0.0546254420692,1.06358303622,0.705436354575,0.315179193416
ACH-000305,-1.4882730445,-1.37161106579,-2.74397972405,-0.0592915823347,-0.233575660029,-1.65462071522
ACH-000307,-0.939358879008,-4.39501808307,-3.53410711544,-1.26255339386,0.036682576374,-1.86034347352
ACH-000308,-0.175834292396,-4.1849814643,0.321404826623,0.42470225656,0.673900700373,-0.476882324615
ACH-000309,-1.48459294351,-1.92249678592,-1.02627933196,-1.44611238938,0.243526177847,-0.686294429695
ACH-000311,-3.65967044208,-3.47489932171,-1.88647098895,-0.705455904272,-0.466411980764,-1.71512366261
ACH-000312,,-1.97102028671,,-0.0644517900101,0.231471821887,-0.315043389683
ACH-000313,-0.518285825094,-2.06834768704,,-0.591237786222,-0.103553838332,-0.900528052651
ACH-000316,-1.08403210872,-3.6586886432,-1.74207801444,-0.0215706776853,-0.508683268227,-2.89908911021
ACH-000318,0.00653077834193,-3.30392695982,0.238128025962,-0.0744961446175,0.311242692816,-0.285626411118
ACH-000319,0.524657310013,0.586768996854,0.752131454656,1.19803060744,0.47524405122,1.65488623675
ACH-000320,-1.31267586305,,,-0.422522105047,-0.387114672947,-1.93089835171
ACH-000322,-0.0558502636338,-1.51252295082,-0.162524387907,-1.32597859356,-0.444928630288,-0.911089070899
ACH-000323,-0.475387974465,-1.28021038728,-0.433745043323,-0.583767808083,-0.924668207459,-2.22428143081
ACH-000324,-1.35734393538,-1.7804059584,-1.93711618274,-0.0650447532569,0.162058827596,-1.84452196142
ACH-000329,0.222586165204,-1.87803565934,-1.54879258864,0.0894542610614,0.53269573775,-0.672619115345
ACH-000330,-0.378848166828,-1.53557763054,-0.757088225961,0.195786104646,-0.0343286396795,-0.986743309465
ACH-000331,0.440993920431,0.500280879706,-0.752509719574,2.39280037463,1.22788028267,0.163699335572
ACH-000332,-0.515801355284,-2.42885116484,-2.16425806657,-0.4972704435,-0.0322259177826,0.0511637188892
ACH-000335,-2.53048519364,,-3.51853232193,-0.785741270879,0.0677722420108,-3.9687204909
ACH-000341,0.979668274325,,,,,
ACH-000343,-0.27870069404,0.299066502752,-0.910810257273,0.422419707225,0.470258506999,-0.100658227545
ACH-000344,-1.30154725545,-0.536811184351,-0.449957218969,-0.187110751754,-0.295385495541,-0.283482648462
ACH-000347,-0.259125805913,-1.34951011422,-0.156721283702,0.196078222573,-0.455331037403,-0.0889247319043
ACH-000348,-0.299728978382,-2.5132822564,-2.24440323982,0.0694468028614,0.478011468157,-1.46121975577
ACH-000350,-0.286325062433,0.522668963742,-1.69047761745,0.367519960592,0.230345893939,1.08779661607
ACH-000351,-1.07492503541,-3.40892165002,-0.750191442868,0.224274114297,0.50994639543,0.225827258789
ACH-000352,-0.114012529625,0.585845310518,-0.419810924115,1.23028772173,0.181725727973,1.3058734048
ACH-000356,-1.71885275727,-3.03479636673,-2.14907821981,-1.32346232583,-1.3531288575,-1.86696301199
ACH-000359,0.142895328369,-0.704900773609,0.29778121614,1.10067721062,0.245302823463,0.535624861665
ACH-000361,-0.871529385499,-2.49302878631,-2.42935007541,-0.744459146511,-0.122636150968,-2.05113073654
ACH-000364,-1.71784106265,-2.80053489837,-2.1434432796,-1.36984959443,-0.818449596509,-2.86007448311
ACH-000366,-0.607842647846,-0.484683471647,-0.0210513410545,0.513268630211,0.994974181888,1.58139046533
ACH-000367,-0.244927098998,-1.25518509429,-0.0462299840294,0.859778818276,0.372761257021,-0.449520020364
ACH-000368,0.0548367949575,-1.82665773553,-0.463328978645,0.303126459692,0.268213521913,-1.09568954341
ACH-000374,0.139935612017,-1.78462564028,-1.14860714822,0.914343070055,0.637071196412,0.611255198413
ACH-000375,-0.602396559778,-2.40707111798,-1.05785242183,-0.619330102814,-1.38322054397,-2.82481811539
ACH-000376,-0.301068379101,-2.65557871562,-1.025381726,0.18574675016,-0.0992042598631,-0.681699243125
ACH-000378,-1.39509874786,-1.9025667668,-2.23065161661,-0.278996202146,0.209878109185,-1.39646969371
ACH-000383,-0.267687366155,-1.3747706894,-1.87208710016,0.580604662754,1.09220392214,0.0580107100946
ACH-000384,-0.374740739122,-1.37011229903,-2.37835819956,0.5787418665,1.02451592756,-0.188351812458
ACH-000389,-0.875663317472,-4.78278319864,-2.28690959099,0.197389556938,0.19387332356,-0.951217353498
ACH-000390,-1.0267462982,-1.67626175972,-0.645721067441,-0.377987067358,0.445049650322,-1.58659263793
ACH-000391,-0.556503089426,-0.856068343246,-2.67823077931,0.00224097634675,0.350019500569,-3.31846748366
ACH-000393,-1.20390294401,1.00689210771,0.949148151331,1.0711355761,0.926746665975,-1.32917940168
ACH-000395,-0.200883012237,0.484313946226,-0.467350041538,0.521213591709,0.0480157812198,0.908270916269
ACH-000396,-0.36892637277,-2.10223783306,-1.1323805732,-0.0938004252757,0.138146418093,-0.917348262435
ACH-000397,0.247132205956,-0.651007422789,0.996896633104,0.280160822411,0.828922676866,-1.91493224868
ACH-000399,-0.505703503464,1.3907734548,,,,0.0365211284673
ACH-000400,-0.748995624254,,-1.73681460266,,-0.156223161331,-0.868173317702
ACH-000401,0.156123634265,-0.889147763473,-1.17012930785,-0.521212627697,0.583901689275,-0.728490223952
ACH-000403,-0.205067936412,-1.19961094627,-1.79900583861,0.570370969966,1.05487935921,-0.208173966894
ACH-000404,0.26842482603,-0.914951164349,0.228459719519,0.422205153953,2.23101268295,-0.93923446216
